CochleariaID	AthalianaID	orthologyEvidence	Athaliana_description
g32125.t1	AT1G27050.1	1-2-1 orthogroup	Note=None: curator_summary=Encodes a protein with a RNA recognition motif.  Previously annotated as ATHB54, a homeodomain leucine zipper (HD-Zip) family protein.  In the TAIR10 genome release (2010), this locus was split into two loci: AT1G27045 (containing homeodomain and leucine zipper domains) and AT1G27050 (containing a RNA recognition motif). AT1G27045 is now named ATHB54. Note that Affymetrix ATH1 Probe Set linked to symbol ATHB54 is in fact directed against the product of the AT1G27050 locus (the mRNA coding for the RNA-recognition-motif protein).: conf_class=4: computational_description=homeobox leucine zipper protein: conf_rating=***: symbol=None: 
g32126.t1	AT1G27045.4	1-2-1 orthogroup	full_name=homeobox protein 54: Note=None: curator_summary=Encodes ATHB54, a member of the homeodomain leucine zipper (HD-Zip) family protein. Please note that this locus was split from AT1G27050 in the TAIR10 genome release (2010). Affymetrix ATH1 Probe Set linked to symbol ATHB54 is in fact directed against the product of the AT1G27050 locus (the mRNA coding for the RNA-recognition-motif protein).: conf_class=4: symbol=None: computational_description=Homeobox-leucine zipper protein family: conf_rating=***: 
g32127.t1	AT1G27000.1	1-2-1 orthogroup	Note=Protein of unknown function (DUF1664): conf_class=2: computational_description=GRIP/coiled-coil protein, putative (DUF1664): conf_rating=****: symbol=None: curator_summary=None: 
g32128.t1	AT1G26930.1	1-2-1 orthogroup	Note=Galactose oxidase/kelch repeat superfamily protein: conf_class=1: computational_description=Galactose oxidase/kelch repeat superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32129.t1	AT1G26920.1	within orthogroup BLAST	Note=None: conf_class=1: computational_description=zinc finger CCHC domain protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32130.t1	AT1G26870.1	1-2-1 orthogroup	Note=NAC (No Apical Meristem) domain transcriptional regulator superfamily protein: symbol=FEZ: full_name=FEZ: computational_description=NAC (No Apical Meristem) domain transcriptional regulator superfamily protein: conf_class=6: conf_rating=**: curator_summary=NAC-domain protein. Expressed in root cap stem cells, where it promotes periclinal root cap-forming divisions. Involved in a regulatory feedback loop with SMB. FEZ activates SMB in hte root cap daughter cells soon after division, and SMB in turn represses FEZ expression in these cells, thereby preventing further stem cell divisions.: 
g32131.t1	AT1G26850.2	1-2-1 orthogroup	Note=S-adenosyl-L-methionine-dependent methyltransferases superfamily protein: conf_class=2: computational_description=S-adenosyl-L-methionine-dependent methyltransferases superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g32132.t1	AT1G69640.1	no orthogroup BLAST	Note=sphingoid base hydroxylase 1: curator_summary=Encodes one of the two redundant sphingoid base hydroxylases (SBH). Involved in sphingolipid trihydroxy long-chain base (4-hydroxysphinganine) biosynthesis. Double mutants of SBHs were dwarfed and not able to progress from vegetative to reproductive growth.: symbol=SBH1: full_name=sphingoid base hydroxylase 1: computational_description=sphingoid base hydroxylase 1: conf_class=2: conf_rating=****: 
g32133.t1	AT1G14290.1	no orthogroup BLAST	Note=sphingoid base hydroxylase 2: curator_summary=Encodes one of the two redundant sphingoid base hydroxylases (SBH). Involved in sphingolipid trihydroxy long-chain base (4-hydroxysphinganine) biosynthesis. Double mutants of SBHs were dwarfed and not able to progress from vegetative to reproductive growth.: symbol=SBH2: full_name=sphingoid base hydroxylase 2: computational_description=sphingoid base hydroxylase 2: conf_class=4: conf_rating=***: 
g32134.t1	AT1G31150.1	no orthogroup BLAST	Note=Domain of unknown function (DUF1985): conf_class=4: computational_description=K-box region protein (DUF1985): conf_rating=***: symbol=None: curator_summary=None: 
g32135.t1	AT1G48285.1	no orthogroup BLAST	Note=None: symbol=None: computational_description=GRF zinc finger protein: curator_summary=: 
g32136.t1	AT3G01320.1	no orthogroup BLAST	Note=SIN3-like 1: curator_summary=Encodes SIN3-like 1, a homolog of the transcriptional repressor SIN3 (AT1G24190).: symbol=SNL1: full_name=SIN3-like 1: computational_description=SIN3-like 1: conf_class=2: conf_rating=****: 
g32137.t1	AT3G05850.1	no orthogroup BLAST	Note=None: curator_summary=Encodes a member of a domesticated transposable element gene family MUSTANG. Members of this family are derived from transposable elements genes but gained function in plant fitness and flower development. Known members include: AT3G04605 (MUG1), AT2G30640 (MUG2), AT1G06740 (MUG3), AT5G16505 (MUG4), AT3G06940 (MUG5), AT5G48965 (MUG6), AT3G05850 (MUG7) and AT5G34853 (MUG8).: symbol=MUG7: full_name=MUSTANG 7: computational_description=MuDR family transposase: 
g32138.t1	AT1G26840.1	1-2-1 orthogroup	Note=origin recognition complex protein 6: curator_summary=Origin Recognition Complex subunit 6. Involved in the initiation of DNA replication. Regulated transcriptionally during cell cycle, peaking at G1/S-phase. Target of E2F/DF family of transcription factors. It acts downstream of BRP4, and is, at least in part, involved in the BRP4-mediated mitotic cell-cycle progression.: symbol=ORC6: full_name=origin recognition complex protein 6: computational_description=origin recognition complex protein 6: conf_class=2: conf_rating=****: 
g32139.t1	AT1G26830.1	within orthogroup RBH	Note=cullin 3: curator_summary=Cullin, putative, similar to Cullin homolog 3 (CUL-3) SP:Q13618, GI:3639052 from (Homo sapiens) contains Pfam profile PF00888: Cullin family. Interacts with other components of E3 ligase complex suggesting it functions in RUB-modification. Forms complexes with BTB domain proteins forming a novel class of E3-based ubiquitin   protein-ligase complexes. Mutant is early flowering and has a reduced sensitivity to far-red light. cul3a/cul3b homozygous/heterozygous plants are embryo lethal.: symbol=CUL3: full_name=cullin 3: computational_description=cullin 3: conf_class=1: conf_rating=*****: 
g32140.t1	AT1G26820.1	within orthogroup RBH	Note=ribonuclease 3: curator_summary=Encodes ribonuclease RNS3.: symbol=RNS3: full_name=ribonuclease 3: computational_description=ribonuclease 3: conf_class=3: conf_rating=****: 
g32141.t1	AT3G53670.1	within orthogroup BLAST	Note=None: conf_class=2: computational_description=hypothetical protein: conf_rating=****: symbol=None: curator_summary=None: conf_class=4: conf_rating=***: 
g32142.t1	AT1G26780.2	1-2-1 orthogroup	Note=myb domain protein 117: curator_summary=Encodes LOF1 (LATERAL ORGAN FUSION1), a MYB-domain transcription factor expressed in organ boundaries.  Functions in boundary specification, meristem initiation and maintenance, and organ patterning. Also see LOF2 (At1g69560).: symbol=MYB117: full_name=myb domain protein 117: computational_description=myb domain protein 117: conf_class=2: conf_rating=****: 
g32143.t1	AT4G29090.1	no orthogroup BLAST	Note=Ribonuclease H-like superfamily protein: conf_class=1: computational_description=Ribonuclease H-like superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32144.t1	AT4G17880.1	no orthogroup BLAST	Note=Basic helix-loop-helix (bHLH) DNA-binding family protein: curator_summary=MYC4 is bHLH transcriptional regulator. It functions  as a JAZ-interacting transcription factor that acts together with MYC2 and MYC3 to activate JA-responses. It also functions in blue light mediated secondary cell wall biogenesis via regulation of NST1 expression. MYC4 directly binds to NST1 promoter and activates its expression.: symbol=MYC4: computational_description=Basic helix-loop-helix (bHLH) DNA-binding family protein: conf_class=4: conf_rating=***: 
g32145.t1	AT1G26760.1	1-2-1 orthogroup	Note=SET domain protein 35: symbol=SDG35: full_name=SET domain protein 35: computational_description=SET domain protein 35: conf_class=4: conf_rating=***: curator_summary=None: 
g32146.t1	AT1G26750.1	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=hypothetical protein: conf_rating=****: symbol=mS23: curator_summary=None: 
g32147.t1	AT1G26900.1	1-2-1 orthogroup	Note=Pentatricopeptide repeat (PPR) superfamily protein: conf_class=4: computational_description=Pentatricopeptide repeat (PPR) superfamily protein: conf_rating=***: symbol=None: curator_summary=None: 
g32148.t1	AT1G26740.1	within orthogroup RBH	Note=Ribosomal L32p protein family: conf_class=2: computational_description=Ribosomal L32p protein family: conf_rating=****: symbol=None: curator_summary=None: 
g32149.t1	AT1G26650.1	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=Son of sevenless protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32150.t1	AT1G26640.1	1-2-1 orthogroup	Note=Amino acid kinase family protein: computational_description=Amino acid kinase family protein: conf_class=2: conf_rating=****: symbol=IPK: curator_summary=Encodes a cytosolic isopentenyl phosphate kinase that plays an important role in regulating the formation of both MVA (mevalonic acid) and MEP (methylerythritol phosphate) pathway-derived terpenoid compounds by controlling the ratio of IP/DMAP to IPP/DMAPP.  IPP and DMAPP are the universal C5 building blocks of all natural terpenoids. IPK enhances terpenoid formation by returning IP/DMAP to the terpenoid biosynthetic network.: 
g32151.t1	AT1G69410.1	within orthogroup BLAST	Note=eukaryotic elongation factor 5A-3: curator_summary=Encodes eIF5A-2, a putative eukaryotic translation initiation factor.  There are three eIF5A coding genes in Arabidopsis: eIF5A-1/At1g13950, eIF5A-2/At1g26630 and eIF5A-3/At1g69410.: symbol=ELF5A-3: full_name=eukaryotic elongation factor 5A-3: computational_description=eukaryotic elongation factor 5A-3: conf_class=2: conf_rating=****: 
g32152.t1	AT1G26620.1	within orthogroup BLAST	Note=Plant protein of unknown function (DUF863): conf_class=2: computational_description=T-box transcription factor, putative (DUF863): conf_rating=****: symbol=None: curator_summary=None: 
g32153.t1	AT1G26610.1	1-2-1 orthogroup	Note=C2H2-like zinc finger protein: conf_class=2: computational_description=C2H2-like zinc finger protein: conf_rating=****: symbol=None: curator_summary=None: 
g32154.t1	AT1G26600.2	1-2-1 orthogroup	full_name=CLAVATA3/ESR-RELATED 9: Note=None: curator_summary=Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon. Can partially replace CLV3 function in vivo.: conf_class=1: symbol=None: computational_description=CLAVATA3/ESR-RELATED 9: conf_rating=*****: 
g32155.t1	AT1G26590.2	1-2-1 orthogroup	Note=None: conf_class=1: computational_description=C2H2-like zinc finger protein: conf_rating=*****: symbol=None: curator_summary=: 
g32156.t1	AT1G26580.1	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=ELM2 domain protein: conf_rating=****: symbol=None: curator_summary=None: 
g32157.t1	AT1G26570.1	within orthogroup RBH	Note=UDP-glucose dehydrogenase 1: symbol=UGD1: full_name=UDP-glucose dehydrogenase 1: computational_description=UDP-glucose dehydrogenase 1: conf_class=2: conf_rating=****: curator_summary=None: 
g32158.t1	AT1G26520.1	1-2-1 orthogroup	Note=Cobalamin biosynthesis CobW-like protein: conf_class=2: computational_description=Cobalamin biosynthesis CobW-like protein: conf_rating=****: symbol=None: curator_summary=None: 
g32159.t1	AT1G26500.1	1-2-1 orthogroup	Note=Pentatricopeptide repeat (PPR) superfamily protein: conf_class=4: computational_description=Pentatricopeptide repeat (PPR) superfamily protein: conf_rating=***: symbol=None: curator_summary=None: 
g32160.t1	AT1G26480.1	1-2-1 orthogroup	Note=general regulatory factor 12: curator_summary=14-3-3 protein GF14iota (grf12): symbol=GRF12: full_name=general regulatory factor 12: computational_description=general regulatory factor 12: conf_class=2: conf_rating=****: 
g32161.t1	AT1G26470.1	1-2-1 orthogroup	Note=None: computational_description=chromatin modification-like protein: conf_class=2: conf_rating=****: symbol=SNS1: curator_summary=None: 
g32162.t1	AT1G26460.1	1-2-1 orthogroup	Note=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_class=2: computational_description=Tetratricopeptide repeat (TPR)-like superfamily protein: conf_rating=****: symbol=None: curator_summary=None: 
g32163.t1	AT1G26440.2	1-2-1 orthogroup	Note=ureide permease 5: curator_summary=Encodes a ureide permease, uptake assays in yeast mutants indicated the longer splice variant is a cellular importer for allantoin, uracil and xanthine. Encodes 2 splice variants, UPS5L and UPS5S, which under nonstress conditions may function in allantoin degradation for nutrient recycling, whereas under stress, both genes may be involved in vesicular export allowing allantoin translocation from roots to shoots. Expression of this variant is enhanced in roots under salt stress. The central loop of the protein faces the cytosol (ReTA).: symbol=UPS5: full_name=ureide permease 5: computational_description=ureide permease 5: conf_class=2: conf_rating=****: conf_class=1: conf_rating=*****: 
g32164.t1	AT1G26360.1	within orthogroup RBH	Note=methyl esterase 13: curator_summary=Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco but no enzymatic activity has been identified for this protein.: symbol=MES13: full_name=methyl esterase 13: computational_description=methyl esterase 13: conf_class=4: conf_rating=***: 
g32165.t1	AT1G26340.1	1-2-1 orthogroup	Note=cytochrome B5 isoform A: curator_summary=encodes a member of the cytochromes b5 family of proteins that localizes to the outer envelope of the chloroplast. The C-terminal portion of the protein appears to be capable of inserting into a plant microsomal membrane in vitro.: symbol=CB5-A: full_name=cytochrome B5 isoform A: computational_description=cytochrome B5 isoform A: conf_class=2: conf_rating=****: 
g32166.t1	AT1G26330.2	1-2-1 orthogroup	Note=DNA binding: conf_class=6: computational_description=DNA binding protein: conf_rating=**: symbol=None: curator_summary=None: 
g32167.t1	AT1G26310.1	no orthogroup BLAST	Note=K-box region and MADS-box transcription factor family protein : curator_summary=Floral homeotic gene encoding a MADS domain protein homologous to AP1. Enhances the flower to shoot transformation in ap1 mutants.: symbol=CAL: full_name=CAULIFLOWER: computational_description=K-box region and MADS-box transcription factor family protein: conf_class=2: conf_rating=****: 
g32168.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g32169.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g32170.t2	AT1G26270.1	1-2-1 orthogroup	Note=Phosphatidylinositol 3- and 4-kinase family protein: conf_class=1: computational_description=Phosphatidylinositol 3- and 4-kinase family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32171.t2	AT1G26260.1	1-2-1 orthogroup	Note=cryptochrome-interacting basic-helix-loop-helix 5: curator_summary=Encodes CIB5 (cryptochrome-interacting basic-helix-loop-helix).  Related to CIB1 (AT4G34530).  CIB5 interacts with CRY2 and forms heterodimer with CIB1 in vitro. Regulates flowering time redundantly with CIB1.: symbol=CIB5: full_name=cryptochrome-interacting basic-helix-loop-helix 5: computational_description=cryptochrome-interacting basic-helix-loop-helix 5: conf_class=1: conf_rating=*****: conf_class=2: conf_rating=****: 
g32172.t1	AT1G26230.1	1-2-1 orthogroup	Note=TCP-1/cpn60 chaperonin family protein: curator_summary=Encodes a subunit of chloroplasts chaperonins that are involved in mediating the folding of newly synthesized, translocated, or stress-denatured proteins.  Cpn60 subunits are: Cpn60alpha1 (At2g28000), AtCpn60alpha2 (At5g18820), AtCpn60beta1 (At1g55490), AtCpn60beta2 (At3g13470), AtCpn60beta3 (At5g56500), AtCpn60beta4 (At1g26230).: symbol=Cpn60beta4: full_name=chaperonin-60beta4: computational_description=TCP-1/cpn60 chaperonin family protein: conf_class=1: conf_rating=*****: conf_class=4: conf_rating=***: 
g32173.t1	AT1G26220.1	1-2-1 orthogroup	Note=Acyl-CoA N-acyltransferases (NAT) superfamily protein: computational_description=Acyl-CoA N-acyltransferases (NAT) superfamily protein: conf_class=1: conf_rating=*****: symbol=SNAT2: curator_summary=Catalyzes formation of N-acetylserotonin (NAS) from serotonin. Involved in the GA-related flowering pathway.: 
g32174.t3	AT1G73060.1	no orthogroup BLAST	Note=Low  PSII Accumulation 3: symbol=LPA3: full_name=Low  PSII Accumulation 3: computational_description=Low PSII Accumulation 3: conf_class=2: conf_rating=****: curator_summary=None: 
g32175.t1	AT1G26210.1	within orthogroup BLAST	Note=SOB five-like 1: curator_summary=AtSOFL1 acts redundantly with AtSOFL2 as positive regulator of cytokinin levels.: symbol=SOFL1: full_name=SOB five-like 1: computational_description=SOB five-like 1: conf_class=2: conf_rating=****: 
g32176.t1	AT2G32880.1	no orthogroup BLAST	Note=TRAF-like family protein: conf_class=1: computational_description=TRAF-like family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32177.t1	ATMG00310.1	no orthogroup BLAST	
g32178.t1	AT1G43760.1	no orthogroup BLAST	Note=DNAse I-like superfamily protein: conf_class=9: computational_description=DNAse I-like superfamily protein: conf_rating=*: symbol=None: curator_summary=None: 
g32179.t1	AT4G32551.2	no orthogroup BLAST	Note=LisH dimerisation motif: curator_summary=LEUNIG regulates floral organ identity,gynoecium and ovule development. Negatively regulates AGAMOUS . Encodes a glutamine-rich protein with seven WD repeats similar to transcriptional corepressors.: symbol=LUG: full_name=LEUNIG: computational_description=transcriptional corepressor LEUNIG: conf_class=2: conf_rating=****: conf_class=4: conf_rating=***: 
g32180.t1	AT1G26190.1	1-2-1 orthogroup	Note=Phosphoribulokinase / Uridine kinase family: computational_description=Phosphoribulokinase / Uridine kinase family: conf_class=2: conf_rating=****: symbol=TTM2: curator_summary=TTM2 is a triphosphate tunnel metalloenzyme that displays pyrophosphatase activity.It contains both a uridine kinase (UK) domain and CYTH domain. TTM2 is involved in negative regulation defense response to pathogens (PMID:28733390).: 
g32181.t2	AT1G26180.1	1-2-1 orthogroup	Note=None: conf_class=2: computational_description=membrane protein: conf_rating=****: symbol=None: curator_summary=None: 
g32182.t1	AT1G26170.1	1-2-1 orthogroup	Note=ARM repeat superfamily protein: computational_description=ARM repeat superfamily protein: conf_class=3: conf_rating=****: symbol=IMB5: curator_summary=Ran effector.: 
g32183.t1	AT1G26160.1	1-2-1 orthogroup	Note=Metal-dependent phosphohydrolase: conf_class=1: computational_description=Metal-dependent phosphohydrolase: conf_rating=*****: symbol=None: curator_summary=None: 
g32184.t1	AT1G26150.1	within orthogroup RBH	Note=proline-rich extensin-like receptor kinase 10: curator_summary=Encodes a member of the proline-rich extensin-like receptor kinase (PERK) family.  This family consists of 15 predicted receptor kinases (PMID: 15653807).: symbol=PERK10: full_name=proline-rich extensin-like receptor kinase 10: computational_description=proline-rich extensin-like receptor kinase 10: 
g32185.t1	AT4G16940.3	no orthogroup BLAST	Note=None: computational_description=Disease resistance protein (TIR-NBS-LRR class) family: conf_class=6: conf_rating=**: symbol=SIKIC1: curator_summary=Redundant function together with SIKIC2 and 3 in SNC1-mediated autoimmunity. Protein levels controlled by MUSE1 and MUSE2.: 
g32186.t1	AT1G26140.1	1-2-1 orthogroup	Note=None: conf_class=8: computational_description=hypothetical protein: conf_rating=*: symbol=None: curator_summary=None: 
g32187.t1	AT1G26130.3	within orthogroup RBH	Note=ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein: computational_description=ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein: conf_class=6: conf_rating=**: symbol=ALA12: curator_summary=None: conf_class=4: conf_rating=***: 
g32188.t1	AT1G26120.1	1-2-1 orthogroup	Note=alpha/beta-Hydrolases superfamily protein: symbol=ICME-LIKE1: full_name=Isoprenylcysteine methylesterase-like 1: computational_description=alpha/beta-Hydrolases superfamily protein: conf_class=1: conf_rating=*****: curator_summary=None: 
g32189.t2	AT5G37470.2	within orthogroup BLAST	Note=None: conf_class=4: computational_description=hypothetical protein (DUF577): conf_rating=***: symbol=None: curator_summary=: 
g32190.t1	AT1G25580.1	1-2-1 orthogroup	Note=NAC (No Apical Meristem) domain transcriptional regulator superfamily protein: curator_summary=Encodes suppressor of gamma response 1 (SOG1), a putative transcription factor governing multiple responses to DNA damage.: symbol=SOG1: full_name=SUPPRESSOR OF GAMMA RADIATION 1: computational_description=NAC (No Apical Meristem) domain transcriptional regulator superfamily protein: conf_class=2: conf_rating=****: 
g32191.t1	AT1G25550.1	1-2-1 orthogroup	Note=myb-like transcription factor family protein: computational_description=myb-like transcription factor family protein: conf_class=2: conf_rating=****: symbol=HHO3: curator_summary=Member of HHO/HRS GARP type transcriptional repressor family. Involved in Pi uptake and Pi starvation signaling. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.: 
g32192.t1	AT1G25530.1	1-2-1 orthogroup	Note=Transmembrane amino acid transporter family protein: conf_class=1: computational_description=Transmembrane amino acid transporter family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32193.t1	AT1G25520.1	within orthogroup RBH	Note=Uncharacterized protein family (UPF0016): computational_description=Uncharacterized protein family (UPF0016): conf_class=2: conf_rating=****: symbol=PML4: curator_summary=Member of the UPF0016 family of membrane proteins, belongs to the conserved group of Mn/Ca transporters. Might act to fine tune Mn allocation into the endoplasmic reticulum  of specific cell types.: 
g32194.t1	AT1G25510.1	1-2-1 orthogroup	Note=Eukaryotic aspartyl protease family protein: conf_class=1: computational_description=Eukaryotic aspartyl protease family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32195.t1	AT1G25500.2	1-2-1 orthogroup	Note=Plasma-membrane choline transporter family protein: conf_class=2: computational_description=Plasma-membrane choline transporter family protein: conf_rating=****: symbol=None: curator_summary=None: conf_class=3: 
g32196.t1	AT1G25490.1	within orthogroup RBH	Note=ARM repeat superfamily protein: curator_summary=One of three genes encoding phosphoprotein phosphatase 2A regulatory subunit A  Recessive ethylene-response mutant EER1 displays increased ethylene sensitivity in the hypocotyl and stem: symbol=RCN1: full_name=ROOTS CURL IN NPA: computational_description=ARM repeat superfamily protein: conf_class=2: conf_rating=****: 
g32197.t1	AT1G25480.1	within orthogroup BLAST	Note=Aluminium activated malate transporter family protein: computational_description=aluminum activated malate transporter family protein: conf_class=2: conf_rating=****: symbol=ALMT4: curator_summary=Encodes a phosphorylation-dependent anion channel that can mediate malate release from the vacuole and is required for stomatal closure in response to abscisic acid.: 
g32198.t1	AT1G29840.1	no orthogroup BLAST	Note=alpha/beta-Hydrolases superfamily protein: conf_class=1: computational_description=alpha/beta-Hydrolases superfamily protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32199.t1	AT1G25470.1	1-2-1 orthogroup	Note=AP2 domain-containing transcription factor family protein: curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.: symbol=CRF12: full_name=cytokinin response factor 12: computational_description=AP2 domain-containing transcription factor family protein: conf_class=2: conf_rating=****: 
g32200.t1	AT1G25440.1	1-2-1 orthogroup	Note=B-box type zinc finger protein with CCT domain: symbol=BBX15: full_name=B-box domain protein 15: computational_description=B-box type zinc finger protein with CCT domain-containing protein: conf_class=2: conf_rating=****: curator_summary=None: 
g32201.t1	AT1G25420.1	1-2-1 orthogroup	Note=Regulator of Vps4 activity in the MVB pathway protein: computational_description=Regulator of Vps4 activity in the MVB pathway protein: conf_class=2: conf_rating=****: symbol=ISTL2: curator_summary=None: conf_class=3: 
g32202.t1	AT1G25390.1	1-2-1 orthogroup	Note=Protein kinase superfamily protein: computational_description=Protein kinase superfamily protein: conf_class=1: conf_rating=*****: symbol=LRK10L4: curator_summary=None: 
g32203.t1	AT1G71450.1	no orthogroup BLAST	Note=Integrase-type DNA-binding superfamily protein: curator_summary=Encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY. FUF1 appears to negatively regulate certain ethylene responsive EDF genes thereby negatively regulating flower senescence.: computational_description=Integrase-type DNA-binding superfamily protein: conf_class=1: conf_rating=*****: symbol=FUF1: 
g32204.t1	AT1G25370.2	1-2-1 orthogroup	Note=Protein of unknown function (DUF1639): conf_class=2: computational_description=hypothetical protein (DUF1639): conf_rating=****: symbol=None: curator_summary=None: 
g32205.t1	AT1G25340.3	no orthogroup BLAST	full_name=myb domain protein 116: Note=None: curator_summary=putative transcription factor (MYB116): conf_class=1: symbol=None: computational_description=myb domain protein 116: conf_rating=*****: conf_class=6: conf_rating=**: 
g32206.t1	AT1G25340.3	1-2-1 orthogroup	full_name=myb domain protein 116: Note=None: curator_summary=putative transcription factor (MYB116): conf_class=1: symbol=None: computational_description=myb domain protein 116: conf_rating=*****: conf_class=6: conf_rating=**: 
g32207.t1	AT1G25330.1	1-2-1 orthogroup	Note=basic helix-loop-helix (bHLH) DNA-binding superfamily protein: curator_summary=Encodes CESTA, a positive regulator of brassinosteroid biosynthesis.: symbol=CES: full_name=CESTA: computational_description=basic helix-loop-helix (bHLH) DNA-binding superfamily protein: conf_class=2: conf_rating=****: 
g32208.t1	AT1G25320.1	1-2-1 orthogroup	Note=Leucine-rich repeat protein kinase family protein: conf_class=1: computational_description=Leucine-rich repeat protein kinase family protein: conf_rating=*****: symbol=None: curator_summary=None: 
g32209.t1	AT1G25310.1	1-2-1 orthogroup	Note=basic helix-loop-helix (bHLH) DNA-binding family protein: symbol=MEE8: full_name=maternal effect embryo arrest 8: computational_description=basic helix-loop-helix (bHLH) DNA-binding family protein: conf_class=10: curator_summary=None: 
g32210.t1	AT1G25300.1	1-2-1 orthogroup	Note=Octicosapeptide/Phox/Bem1p family protein: conf_class=9: computational_description=Octicosapeptide/Phox/Bem1p family protein: conf_rating=*: symbol=None: curator_summary=None: 
g32211.t1	AT1G25290.1	1-2-1 orthogroup	Note=RHOMBOID-like protein 10: symbol=RBL10: full_name=RHOMBOID-like protein 10: computational_description=RHOMBOID-like protein 10: conf_class=6: conf_rating=**: curator_summary=Predicted to be a plastid rhomboid protease. Mutants show defects in phosphatidic acid metabolism.: conf_class=4: conf_rating=***: 
g32212.t1	AT1G25280.1	1-2-1 orthogroup	Note=tubby like protein 10: curator_summary=Member of TLP family: symbol=TLP10: full_name=tubby like protein 10: computational_description=tubby like protein 10: conf_class=2: conf_rating=****: 
g32213.t1	AT5G64980.2	no orthogroup BLAST	Note=None: conf_class=1: computational_description=transcription factor: conf_rating=*****: symbol=None: curator_summary=None: 
g32214.t1	ATMG00820.1	no orthogroup BLAST	
g32215.t1	AT1G25275.3	no orthogroup BLAST	Note=None: conf_class=1: computational_description=thionin-like protein: conf_rating=*****: symbol=None: curator_summary=Thionin-like gene involved in resistance against the beet cyst nematode (Heterodera schachtii).: conf_class=2: conf_rating=****: 
g32216.t1	ATMG00300.1	no orthogroup BLAST	
g32217.t1	AT4G23160.2	no orthogroup BLAST	full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
g32218.t1	AT4G20220.1	1-2-1 orthogroup	Note=Reverse transcriptase (RNA-dependent DNA polymerase): conf_class=10: computational_description=Reverse transcriptase (RNA-dependent DNA polymerase): symbol=None: curator_summary=None: 
g32219.t1	AT1G25270.1	1-2-1 orthogroup	Note=nodulin MtN21 /EamA-like transporter family protein: curator_summary=nodulin MtN21-like transporter family protein: symbol=UMAMIT24: full_name=Usually multiple acids move in and out Transporters 24: computational_description=nodulin MtN21 /EamA-like transporter family protein: conf_class=1: conf_rating=*****: 
g32220.t1	AT1G25270.1	no orthogroup BLAST	Note=nodulin MtN21 /EamA-like transporter family protein: curator_summary=nodulin MtN21-like transporter family protein: symbol=UMAMIT24: full_name=Usually multiple acids move in and out Transporters 24: computational_description=nodulin MtN21 /EamA-like transporter family protein: conf_class=1: conf_rating=*****: 
g32221.t1	AT1G25260.1	1-2-1 orthogroup	Note=Ribosomal protein L10 family protein: computational_description=Ribosomal protein L10 family protein: conf_class=2: conf_rating=****: symbol=RDP: curator_summary=Involved in male gamete development. Trans-acting factor in the assembly of the pre-60S particle affects ribosome gene expression.: 
g32222.t1	AT1G25250.3	no orthogroup BLAST	full_name=indeterminate(ID)-domain 16: Note=None: conf_class=6: symbol=None: computational_description=indeterminate(ID)-domain 16: conf_rating=**: curator_summary=Encodes a transcription factor that, together with IDD14 and IDD15, regulates auxin biosynthesis and transport and thus aerial organ morphogenesis and gravitropic responses . IDD16 also binds to the SPCH promoter and regulates stomata initiation.: 
